,q
average:,0.9571940288933133
average:,0.9975088239574137
average:,0.9948053958295308
average:,0.9876074793618104
average:,0.9705833189214444
average:,0.9976864457682327
average:,0.9796384581497621
average:,0.7725989266363711
average:,0.9902693029529152
average:,0.9988638758719929
average:,0.9984843730992331
average:,0.9907360073648503
average:,0.9987761974095414
average:,0.9958282708240905
average:,0.991126477387331
average:,0.9702908994809291
average:,0.9985299707007083
average:,0.9980242252722004
average:,0.8997059440482046
average:,0.9913367631794
average:,0.9947164656097118
average:,0.9943512676816451
average:,0.9917778971126593
average:,0.9758436077643827
average:,0.9986231923124379
average:,0.995527148239088
average:,0.9785622357278588
average:,0.9938806891825247
average:,0.9853183031263978
average:,0.9957046510990237
average:,0.9985560775104364
average:,0.9859217403081625
average:,0.9854995013568947
average:,0.9948056936944136
average:,0.986409068148027
average:,0.9951080679078371
average:,0.9957180023101859
average:,0.993095457566011
average:,0.9270422474701823
average:,0.9859586953276231
average:,0.9939866065205708
average:,0.9887763265702295
average:,0.9705754511800763
average:,0.9785231356439814
average:,0.9856552480916124
average:,0.9489906432678066
average:,0.9935634134139306
average:,0.9939966201076742
average:,0.9981102346901248
average:,0.9993739724096148
average:,0.9623014923166824
average:,0.9687151905342608
average:,0.9832563393898119
average:,0.965212524268972
average:,0.9146641515653122
average:,0.965008198850973
average:,0.9893940095291509
average:,0.9868443008553784
average:,0.9870017768269607
average:,0.9983037710701915
average:,0.9680758128742594
average:,0.9848129154493894
average:,0.9829125396724422
average:,0.9858166575579893
average:,0.9925112127581055
average:,0.9967184065977833
average:,0.9846267100497336
average:,0.9942725898072533
average:,0.9558839789366175
average:,0.9952009917198426
average:,0.9988661408359951
average:,0.9906979201779416
average:,0.9342669854402068
average:,0.9547215711576049
average:,0.9929294588372911
average:,0.9964939355341779
average:,0.971199095118448
average:,0.9801545150267911
average:,0.9895484447015236
average:,0.9613301150874265
average:,0.9867950674835488
average:,0.9696583149627073
average:,0.9862021807590806
average:,0.9905606508964926
average:,0.9951859712510481
average:,0.9909597039864714
average:,0.9899047609705635
average:,0.9972939490876519
average:,0.9970759154387426
average:,0.9753738636958349
average:,0.9595347627863173
average:,0.9939064385112176
average:,0.9847737554575753
average:,0.9987010360011123
average:,0.91465443374211
average:,0.9973700046474997
average:,0.9828526371566527
average:,0.9629392014151515
average:,0.990002811165457
average:,0.9449756148529865
